iteration,mass_used_kg,wing_area_m2,stall_EAS_m_s,max_stall_EAS_m_s,stall_margin_m_s,climb_EAS_m_s,mission_energy_Wh,battery_mass_kg,canard_area_ratio,wing_CL_max,canard_CL_max,wing_datcom_eta,canard_datcom_eta,estimated_mass_kg,mass_change_kg
1,52.78,2.25,17.129541571345232,16.125,-1.0045415713452321,22.86222815055543,2923.9456279359374,11.680597734688654,0.16999999999999998,1.28,1.02,0.95,0.95,46.791448877290094,-5.988551122709907
2,46.791448877290094,2.25,16.128511713663354,16.20703125,0.07851953633664621,29.59850707985786,2677.707250347372,10.696923001487553,0.13,1.28,1.02,0.95,0.95,46.64463320041249,-0.14681567687760122
3,46.64463320041249,2.25,16.1031889381159,16.20703125,0.10384231188410098,29.552035566265694,2687.3926946909633,10.735614479939931,0.13,1.28,1.02,0.95,0.95,46.68640453914279,0.04177133873029959
4,46.68640453914279,2.25,16.110397712065367,16.20703125,0.09663353793463259,29.56526486792528,2688.7200162047407,10.740916872884213,0.13,1.28,1.02,0.95,0.95,46.69256187559428,0.006157336451487083
