component,mass_kg,x_location_fuselage_m
wing,7.56,1.8620472019403196
canard,0.73125,0.4104669331122391
fuselage,7.647911771722345,1.465117197647959
motors,11.2,1.8620472019403196
propellers,0.4458337358898624,1.8620472019403196
battery,10.741693846458862,1.578573847183399
avionics,0.6,0.1
sensors,1.0,0.1
net_gun,1.5,0.1
reel,0.5,1.465117197647959
parachute,0.6,1.6203105245618592
wiring,0.708,1.465117197647959
contingency,3.4587751483256852,1.465117197647959
