wing_area_m2,feasible,failure_reason,MTOW_mass_estimate_kg,mass_closure_error_kg,wing_span_m,wing_stall_EAS_m_s,max_stall_EAS_m_s,stall_margin_m_s,stall_limit_source,stall_limit_safety_factor_R,stall_limit_vertical_arm_m,stall_limit_thrust_N,stall_limit_canard_arm_to_cg_m,stall_limit_wing_arm_to_cg_m,minimum_climb_EAS_m_s,optimized_climb_EAS_m_s,max_climb_CL,climb_CL_limit,course_climb_available_power_W,course_climb_average_power_W,course_climb_time_s,course_climb_max_thrust_to_weight,course_climb_thrust_limit,cruise_true_speed_m_s,mission_energy_Wh,battery_mass_kg,canard_area_ratio,canard_area_m2,canard_arm_m,scissor_clearance_over_c,outbound_time_s,peak_electrical_power_W,sizing_iterations_used,propeller_diameter_m
1.1,False,Stall speed above transition-sim (forward binding) limit.,44.09276609798883,-0.0002599757413221937,2.7748873851023217,22.391898479498582,16.166015625,-6.2258828544985825,transition-sim (forward binding),,,,,,27.989873099373224,35.48929309846528,0.6254701014229815,0.8192,16500.0,13848.080994318128,372.5565740513998,0.5,0.5,48.25373788886315,2690.962850831618,10.74987656379354,0.16,0.17600000000000002,2.2897294315058407,-0.026893260332375046,409.45266698916555,16269.123944565557,8,1.0259296219329888
1.15,False,Stall speed above transition-sim (forward binding) limit.,44.217028700589964,-0.7498582584302014,2.837252191822221,22.11565454893059,16.166015625,-5.949638923930589,transition-sim (forward binding),,,,,,27.644568186163237,36.89628367246587,0.5802377279132402,0.8192,17500.0,14681.351341171747,357.9029334186896,0.5,0.5,50.16678118847346,2716.7913010572274,10.853056231128445,0.155,0.17825,2.211833118437377,3.902895331964196e-05,394.46721516872367,17249.335169355847,8,1.0360459758102014
1.2,False,Stall speed above transition-sim (forward binding) limit.,43.52503712475457,0.00030032732573204157,2.898275349237888,21.300007687854556,16.166015625,-5.133992062854556,transition-sim (forward binding),,,,,,26.625009609818196,35.53551282590402,0.5649819660411042,0.8192,16500.0,13689.18115396886,368.54504859023257,0.5,0.5,48.31658147965927,2656.7144138530293,10.613060676532626,0.15000000000000002,0.18000000000000002,1.985072006735015,0.0022433036461628753,404.12961377894044,16080.355826383651,4,1.0192968771960147
1.25,False,Stall speed above transition-sim (forward binding) limit.,44.01032914839972,-0.07127040461639922,2.958039891549808,21.002740789477578,16.166015625,-4.836725164477578,transition-sim (forward binding),,,,,,26.253425986846974,35.039572550445094,0.5597465156002521,0.8192,16500.0,13672.005059631898,372.4973099956346,0.5,0.5,47.64226621521799,2669.2715617724457,10.66322405581722,0.15000000000000002,0.18750000000000003,2.0522291861059916,0.007003310741644508,407.7248121986654,16058.798854040619,8,1.0257966806642962
1.3,False,Stall speed above transition-sim (forward binding) limit.,45.39364289034853,0.7738155855983564,3.0166206257996713,20.720230045107662,16.166015625,-4.554214420107662,transition-sim (forward binding),,,,,,25.90028755638458,34.568250458587954,0.5549297023207871,0.8192,16500.0,13654.095267153923,376.0623102835032,0.5,0.5,47.001423563925826,2680.279932304089,10.707200368736999,0.16,0.20800000000000002,2.4281975335389876,6.33320652005942e-05,410.9504738974704,16036.22712976571,8,1.032040069762191
1.35,False,Stall speed above transition-sim (forward binding) limit.,45.526344959313626,1.1634271650884571,3.0740852297878796,20.274281556145347,16.166015625,-4.108265931145347,transition-sim (forward binding),,,,,,25.342851945181682,33.82425972950248,0.547637881128382,0.8192,16000.0,13284.562693639033,382.75388557403744,0.5,0.5,45.98984146412381,2665.3293245317127,10.647475579873015,0.16,0.21600000000000003,2.4153398408586226,6.069567954991584e-05,417.1063968843123,15600.74422676356,8,1.029064669797354
1.4,False,Stall speed above transition-sim (forward binding) limit.,45.92911295513158,0.6078713682537611,3.1304951684997055,20.122836016426277,16.166015625,-3.9568203914262767,transition-sim (forward binding),,,,,,25.153545020532846,33.5715980874045,0.5452475002686575,0.8192,16000.0,13470.880567826649,384.8120491314997,0.5,0.5,45.646304932738445,2692.4864914941695,10.755963213798742,0.16,0.22399999999999998,2.4296112674593333,6.068243266499351e-05,418.98265119834775,15818.69774685183,8,1.0401201654366699
1.45,False,Stall speed above transition-sim (forward binding) limit.,45.746914323012604,2.323673263248729,3.1859064644147983,19.354387106358715,16.166015625,-3.1883714813587147,transition-sim (forward binding),,,,,,24.192983882948393,33.904047613563876,0.4959017074137085,0.8192,15500.0,13034.624317819247,379.43591878835304,0.5,0.5,46.09832668059526,2624.5938045302373,10.484745049556526,0.16,0.23199999999999998,2.3924937864143194,5.022021852496561e-05,412.6834962477957,15306.316827564784,8,1.0181077296216212
1.5,False,Stall speed above transition-sim (forward binding) limit.,45.358855043439085,1.3921120050469398,3.24037034920393,19.147797439484897,16.20703125,-2.940766189484897,transition-sim (forward binding),,,,,,23.934746799356123,33.54215416461767,0.49284518115328185,0.8192,15500.0,13057.826297080193,382.2181827719521,0.5,0.5,45.60627090533097,2636.6485166808175,10.53290129503972,0.135,0.2025,2.187160354148785,0.0020740926400395487,415.2176144618296,15332.4712734597,8,1.0244594302162489
1.55,False,Stall speed above transition-sim (forward binding) limit.,45.990007752038295,0.11185985301857215,3.2939338184001206,19.241520859718914,16.166015625,-3.0755052347189142,transition-sim (forward binding),,,,,,24.051901074648644,33.70633416601261,0.49570686702822536,0.8192,16500.0,13691.416080963485,383.7551675425488,0.5,0.5,45.82950157752059,2709.9821463763874,10.8258549740393,0.155,0.24025,2.1803751430942455,4.690014453767599e-05,416.86717538684957,16077.344321987255,8,1.0464911392238272
1.6,False,Stall speed above transition-sim (forward binding) limit.,45.99557238239129,0.8485131531105665,3.3466401061363023,18.78698326255395,16.166015625,-2.6209676375539495,transition-sim (forward binding),,,,,,23.48372907819244,32.910097930178885,0.4876963855180969,0.8192,15500.0,13157.00740629217,387.7975365482185,0.5,0.5,44.74688281374484,2666.727036518819,10.653059169155377,0.155,0.248,2.168681547493532,4.233552102872462e-05,420.36357525692983,15447.405784059747,8,1.0381195032304253
1.65,False,Stall speed above transition-sim (forward binding) limit.,45.056896428890745,-0.9149181513481892,3.3985290935932855,18.66835958370364,16.166015625,-2.5023439587036407,transition-sim (forward binding),,,,,,23.335449479629553,32.70229890075285,0.4860557780356613,0.8192,16000.0,13313.144008229458,389.58606021922463,0.5,0.5,44.46434464450986,2689.8833883497355,10.745564319783226,0.14500000000000002,0.23925000000000002,1.7306400239354893,4.601246221547228e-05,422.00961375661836,15630.283089080724,8,1.0475588738245258
1.7,False,Stall speed above transition-sim (forward binding) limit.,45.28806757294845,-0.6292848324639522,3.449637662132068,18.380878533224802,16.166015625,-2.214862908224802,transition-sim (forward binding),,,,,,22.976098166531003,32.198703970576545,0.48218564758267557,0.8192,15500.0,13093.325965848235,394.8641146272841,0.5,0.5,43.77962157337214,2684.620077496544,10.724538410053109,0.14500000000000002,0.24650000000000002,1.7391630699283875,5.246655156354585e-05,426.9423594782079,15371.354683730016,6,1.046938175660408
1.75,False,Stall speed above transition-sim (forward binding) limit.,45.43773205366496,0.08364582794899178,3.5,18.004932302962686,16.166015625,-1.8389166779626862,transition-sim (forward binding),,,,,,22.506165378703358,31.540140161714884,0.4773478893887544,0.8192,15000.0,12668.88249623058,402.46004095223776,0.5,0.5,42.884191920047314,2663.9182499933936,10.641838609780859,0.14500000000000002,0.25375000000000003,1.7444142553305917,4.583104231159485e-05,434.08671691283325,14872.259482031575,8,1.0404969885641602
1.8,False,Stall speed above transition-sim (forward binding) limit.,46.453497968225825,0.329782425760321,3.5496478698597698,17.903098307666564,16.166015625,-1.7370826826665642,transition-sim (forward binding),,,,,,22.378872884583206,31.361752460454902,0.4760804738793975,0.8192,15500.0,12811.268660068565,404.1541486992196,0.5,0.5,42.6416434602819,2685.627189840857,10.728561629245409,0.15000000000000002,0.2700000000000001,1.9786603273935985,5.7353601126797216e-05,435.65850646494573,15039.08872201065,8,1.049288128727189
1.85,False,Stall speed above transition-sim (forward binding) limit.,47.69877895529224,0.0010572030062334647,3.5986108430893164,17.95830156288395,16.166015625,-1.7922859378839497,transition-sim (forward binding),,,,,,22.447876953604933,31.458454762781948,0.47676526935614977,0.8192,16000.0,13289.538666086682,402.3830176794472,0.5,0.5,42.77312670895615,2732.9109247843326,10.917451012820665,0.155,0.28675,2.2519033293418613,4.1198229984718004e-05,433.9536829931534,15600.263567074315,7,1.0670418051615316
1.9,False,Stall speed above transition-sim (forward binding) limit.,46.494080731812055,-0.6456598495504267,3.6469165057620936,17.616478578769886,16.166015625,-1.450462953769886,transition-sim (forward binding),,,,,,22.020598223462358,30.859666350360143,0.47261031728020386,0.8192,15500.0,12884.67397990268,409.39308084945327,0.5,0.5,41.95897188700114,2711.9491561055893,10.833712797785237,0.14500000000000002,0.2755,1.7951981566698128,3.838300491848523e-05,440.55316450759267,15124.301564333435,7,1.0607821691564254
1.95,False,Stall speed above transition-sim (forward binding) limit.,47.463578999709405,-0.07838962138720973,3.6945906403822333,17.463190085599344,16.166015625,-1.2971744605993436,transition-sim (forward binding),,,,,,21.828987606999178,32.04786433875572,0.43831699126415524,0.8192,16000.0,13494.547909563706,393.7127772894532,0.5,0.5,43.574529405519144,2722.1687947114483,10.874538279082987,0.15000000000000002,0.29250000000000004,2.031644033947764,4.929280868681829e-05,424.6887380353536,15840.656203178576,8,1.0652982103696023
2.0,False,Stall speed above transition-sim (forward binding) limit.,47.02449621581307,-0.22006969682916377,3.7416573867739413,17.18949983369677,16.166015625,-1.0234842086967717,transition-sim (forward binding),,,,,,21.48687479212096,31.545597111472517,0.43497447051705773,0.8192,15500.0,13200.416678461173,399.4582091593515,0.5,0.5,42.89161157257595,2710.429256930993,10.82764109430138,0.14500000000000002,0.29000000000000004,1.8233522676056233,4.354962639685489e-05,430.105426075957,15494.855451799525,8,1.061960952620783
2.05,False,Stall speed above transition-sim (forward binding) limit.,46.1174870009833,-0.6778366917308887,3.788139384975162,16.89766141677217,16.20703125,-0.6906301667721699,transition-sim (forward binding),,,,,,21.12207677096521,31.010024976679716,0.4315554691489594,0.8192,15500.0,12853.34243099076,406.135914656291,0.5,0.5,42.16341004595866,2695.0779736582404,10.766315684243446,0.135,0.27675,1.4655583119138282,5.246002306086295e-05,436.43258902325067,15086.951198421146,8,1.0568998706969646
2.1,False,Stall speed above transition-sim (forward binding) limit.,47.2260236295442,-1.6459241250650578,3.8340579025361627,17.06170713525267,16.20703125,-0.8546758852526715,transition-sim (forward binding),,,,,,21.32713391906584,31.311076211044522,0.4334590289076523,0.8192,16000.0,13554.20516302222,401.5691425541276,0.5,0.5,42.572740468907725,2757.3351593821417,11.015021110085456,0.14,0.29400000000000004,1.6656753800467579,2.852098896605204e-05,432.0628609052915,15909.427684094002,8,1.0800962066872122
2.15,False,Stall speed above transition-sim (forward binding) limit.,47.89983195222866,0.09115575242766738,3.8794329482541645,16.677710686113297,16.166015625,-0.5116950611132971,transition-sim (forward binding),,,,,,20.847138357641622,30.606378727465582,0.4290761908439084,0.8192,15500.0,12961.396251349466,410.189990525078,0.5,0.5,41.61458422811661,2721.350656931826,10.871269976757521,0.14500000000000002,0.31175,1.8730531531392107,5.301900234944146e-05,440.2224704424716,15213.02504321046,8,1.0682821606555861
2.2,False,Stall speed above transition-sim (forward binding) limit.,46.85378211640093,-2.777488593581765,3.924283374069717,16.798428814558374,16.20703125,-0.591397564558374,transition-sim (forward binding),,,,,,20.998036018197965,30.827916612850366,0.4304266236933168,0.8192,16000.0,13552.966037303098,406.9470886661187,0.5,0.5,41.915802711791414,2776.8284548808692,11.092893058547364,0.13,0.28600000000000003,1.3615186293538462,4.8833667188274976e-05,437.12456950895444,15907.300451177654,8,1.0884545876937288
2.25,True,,46.69346450239675,0.0009026268024712181,3.968626966596886,16.11146005419225,16.20703125,0.09557119580775009,transition-sim (forward binding),,,,,,20.139325067740312,29.567214442785144,0.4230706641120052,0.8192,14500.0,12229.505068097229,425.57944333639296,0.5,0.5,40.20166341063754,2688.9145121148144,10.741693846458862,0.13,0.2925,1.3703105245618592,3.404996903416668e-05,454.9317696868096,14353.407930474772,4,1.0557387649057204
2.3,True,,46.98836830899285,0.056592439077434165,4.0124805295477755,15.976140911853399,16.20703125,0.23089033814660098,transition-sim (forward binding),,,,,,19.97017613981675,29.31888126340296,0.4217143241246907,0.8192,14500.0,12189.165511513653,428.7317134638767,0.5,0.5,39.864012161463066,2694.5028686315295,10.764018250800078,0.13,0.299,1.3859587462765504,2.2134680029595177e-05,457.9215008392289,14305.771910054616,2,1.0584396753045027
2.35,True,,46.776317623163486,-0.0015468766482555907,4.05585995813465,15.779330444184255,16.248046875,0.46871643081574454,transition-sim (forward binding),,,,,,19.724163055230317,30.273960401371173,0.3907650215172913,0.8192,15000.0,12544.383203718868,416.93866970455144,0.5,0.5,41.16260490206157,2695.2533779597065,10.767016390531136,0.12000000000000001,0.28200000000000003,1.2532085686300891,5.488135251729975e-05,445.8920576234484,14723.34687055245,5,1.0567026892401443
2.4,True,,47.00639189372417,-0.0029413953211872013,4.09878030638384,15.652680893828322,16.248046875,0.5953659811716783,transition-sim (forward binding),,,,,,19.5658511172854,30.030972684884112,0.38947310008332786,0.8192,15000.0,12505.522255472293,419.91861843617914,0.5,0.5,40.832221720039634,2700.8084626344958,10.789207880293603,0.12000000000000001,0.28800000000000003,1.2466064453124996,9.591358079708012e-06,448.71988088523176,14677.443071304451,5,1.0593138800566377
2.45,True,,47.239716859154385,-0.002696190085188732,4.141255848169732,15.530495084055604,16.248046875,0.7175517909443965,transition-sim (forward binding),,,,,,19.413118855069502,29.79654902668434,0.38825214882688874,0.8192,15000.0,12469.65727177598,422.8444386147457,0.5,0.5,40.513482833741286,2706.4740886389673,10.81184096130617,0.12000000000000001,0.29400000000000004,1.2410732326947573,9.826028650072871e-06,451.4989372287296,14635.07505779258,5,1.0619367563680318
2.5,True,,47.47481824873429,-0.0026194166949906617,4.183300132670378,15.412601094255768,16.248046875,0.8354457807442319,transition-sim (forward binding),,,,,,19.26575136781971,29.570359582754215,0.3870975590906999,0.8192,15000.0,12436.781428278107,425.7154508089808,0.5,0.5,40.20593976405124,2712.255622702077,10.83493707261391,0.12000000000000001,0.30000000000000004,1.2360737163837738,4.290997547728992e-06,454.2283407197382,14596.233144822447,5,1.0645749751204605
2.55,True,,47.71160033975069,-0.0022911460187700072,4.224926034855521,15.298703772029258,16.248046875,0.949343102970742,transition-sim (forward binding),,,,,,19.123379715036574,29.35183807861913,0.3860038195937436,0.8192,15000.0,12406.562550984712,428.5346444636553,0.5,0.5,39.90882256438319,2718.131790143306,10.85841122597945,0.12000000000000001,0.306,1.2316057591353258,7.478535491989291e-07,456.9107262798792,14560.525700241431,6,1.067222655723598
2.6,True,,47.95010809963828,-0.0020925736738419687,4.266145801540309,15.188675511112102,16.248046875,1.059371363887898,transition-sim (forward binding),,,,,,18.985844388890126,29.140739691027818,0.38496732244301857,0.8192,15000.0,12379.047635104074,431.30093418280217,0.5,0.5,39.621798355833,2724.1117379733546,10.882299961942893,0.12000000000000001,0.31200000000000006,1.2276672550279706,4.305150228756105e-06,459.54485523855647,14528.006593712582,6,1.0698844821048086
2.65,True,,48.205449877404455,-0.00044455196505310823,4.306971093471606,15.084448691312508,16.248046875,1.1635981836874922,transition-sim (forward binding),,,,,,18.855560864140635,28.940771851673986,0.38400353218598693,0.8192,15000.0,12359.3247377201,433.9379207889393,0.5,0.5,39.34990802317379,2730.5585500088223,10.908053730186047,0.12000000000000001,0.318,1.2290104533351687,3.450766537932415e-06,462.0566495018245,14504.647162390376,6,1.0727108900790263
2.7,True,,48.505570244242115,-0.002301271831811391,4.347413023856832,14.990859494629078,16.248046875,1.2571873803709224,transition-sim (forward binding),,,,,,18.738574368286347,28.7612131787371,0.3831529578609803,0.8192,15000.0,12359.752471290145,436.2617887957445,0.5,0.5,39.10576742799402,2738.3699774077522,10.939258873095985,0.12000000000000001,0.32400000000000007,1.2440522944537307,7.0396782468618024e-06,464.2681025772082,14504.953251939936,5,1.0760655460753081
2.75,True,,48.80677188603847,-0.0019716204682325156,4.387482193696061,14.899948707250743,16.248046875,1.3480981677492565,transition-sim (forward binding),,,,,,18.62493588406343,28.586793257252822,0.38234007640599277,0.8192,15000.0,12361.153424182417,438.54767221083705,0.5,0.5,38.86861384055718,2746.176353394312,10.970443836589684,0.12000000000000001,0.33,1.2595655776221117,5.02736527065728e-05,466.44478823988095,14506.411146857907,5,1.0793975568715126
2.8,True,,49.10608375354095,-0.0019939270513589236,4.427188724235731,14.81152438303328,16.248046875,1.4365224919667199,transition-sim (forward binding),,,,,,18.5144054787916,28.417143822547928,0.3815619564873349,0.8192,15000.0,12363.304844957594,440.8028743880061,0.5,0.5,38.63794654232357,2753.9768463570076,11.00160529853993,0.12000000000000001,0.336,1.2744970810845095,2.6460699222324857e-05,468.59377928697154,14508.759213067948,5,1.082702361385929
2.85,True,,49.40689699758957,-0.002285792511244722,4.466542286825459,14.72596323508591,16.248046875,1.52208363991409,transition-sim (forward binding),,,,,,18.40745404385739,28.252987630115243,0.3808207077938145,0.8192,15000.0,12367.396482862789,443.00986098138816,0.5,0.5,38.41474824247287,2761.8598685398756,11.033096448776094,0.12000000000000001,0.342,1.2899004524593303,4.369613369761827e-05,470.6979938626454,14513.393285531285,5,1.0860165718795638
2.9,True,,49.707377966741134,-0.002093998470897418,4.505552130427524,14.64275791819749,16.248046875,1.6052889568025108,transition-sim (forward binding),,,,,,18.30344739774686,28.093351295888397,0.38011080292947447,0.8192,15000.0,12372.392949279047,445.1829726192671,0.5,0.5,38.19769545959694,2769.7488904475213,11.064611566753307,0.12000000000000001,0.34800000000000003,1.3052498943551152,4.9096866677561524e-05,472.7711631960343,14519.0972295396,5,1.0893117591005108
2.95,True,,50.007665871307225,-0.002227386708341328,4.544227107000705,14.56194083711906,16.248046875,1.6861060378809398,transition-sim (forward binding),,,,,,18.202426046398823,27.938296991082673,0.3794315230551323,0.8192,15000.0,12378.59627024359,447.3190498619899,0.5,0.5,37.9868727260509,2777.6721501640054,11.096263458160413,0.12000000000000001,0.35400000000000004,1.3205462977513278,4.355989812929173e-05,474.8101667705448,14526.225143589256,5,1.0925984515706726
3.0,True,,50.307678431825764,-0.002204292328499946,4.58257569495584,14.483326846922067,16.248046875,1.7647200280779334,transition-sim (forward binding),,,,,,18.104158558652585,27.787469499723898,0.378780382686828,0.8192,15000.0,12385.745906000697,449.4214605939607,0.5,0.5,37.78179706522361,2785.6102339014774,11.127974568666643,0.12000000000000001,0.36000000000000004,1.3357905202310367,2.783238417944367e-05,476.81815008321996,14534.470599558299,5,1.0958705837041012
3.05,True,,50.607396381218564,-0.0019078463858122063,4.620606020859168,14.406801424206872,16.248046875,1.841245450793128,transition-sim (forward binding),,,,,,18.008501780258587,27.640649099126232,0.37815559264819604,0.8192,15000.0,12393.745871481442,451.4916816616923,0.5,0.5,37.58216972670432,2793.5573780317254,11.159721873691105,0.12000000000000001,0.366,1.3509833878166089,2.62269629699996e-06,478.79645242046365,14543.720444205199,5,1.0991268072483196
3.1,True,,50.90860957035723,-0.001903514331850431,4.658325879540846,14.33260712617897,16.248046875,1.9154397488210293,transition-sim (forward binding),,,,,,17.915758907723713,27.498301155501537,0.3775583022343584,0.8192,15000.0,12403.414091543153,453.5186966709973,0.5,0.5,37.388623455111166,2801.5804882013726,11.191772648362619,0.12000000000000001,0.37200000000000005,1.3666472579918638,1.9590256664953065e-05,480.73434873636984,14554.934376372434,5,1.102392763939412
3.15,True,,51.20962150963917,-0.0021808271908199117,4.695742752749559,14.26041156860341,16.248046875,1.9876353063965908,transition-sim (forward binding),,,,,,17.82551446075426,27.359787961996354,0.37698505084061495,0.8192,15000.0,12414.077009654442,455.51253585258576,0.5,0.5,37.20029117937368,2809.630621691804,11.223931375978445,0.12000000000000001,0.378,1.3822599109643599,2.7628515303995682e-05,482.64147001737365,14567.321380570464,5,1.105649941277385
3.2,True,,51.51033396747013,-0.002157827359951625,4.732863826479693,14.190039241375743,16.248046875,2.058007633624257,transition-sim (forward binding),,,,,,17.73754905171968,27.224772787849474,0.3764337716357131,0.8192,15000.0,12425.44774003842,457.4769402502112,0.5,0.5,37.016715056675864,2817.6851825137646,11.256107789928153,0.12000000000000001,0.38400000000000006,1.3978221047520027,2.7278282393933262e-05,484.52134649276445,14580.54427652534,5,1.1088910955539277
3.25,True,,51.79338119941418,-0.0024940925711973705,4.769696007084728,14.119139014537401,16.248046875,2.128907860462599,transition-sim (forward binding),,,,,,17.648923768171752,27.088744794307882,0.37588579021728397,0.8192,15000.0,12431.364949744846,460.5121998158307,0.5,0.5,36.83176183352508,2828.752758151596,11.300320615805836,0.115,0.37375,1.4181931182459082,1.1444140188832108e-06,487.4714440480212,14587.50345833925,5,1.111937060033585
3.3,True,,52.031688494657374,-0.0006798718692593297,4.806245936279166,14.043719080971083,16.248046875,2.2043277940289165,transition-sim (forward binding),,,,,,17.55464885121385,26.94404536676643,0.37531101006896045,0.8192,15000.0,12421.519387925098,462.74855016746767,0.5,0.5,36.635018319083095,2835.03351699487,11.325411033635753,0.115,0.3795,1.4149222182440373,1.0506363249257467e-05,489.61720353062503,14575.830490666964,6,1.1144726473711952
3.35,True,,52.27187696774345,-0.0005113775146341482,4.8425200051213,13.970632697359262,16.248046875,2.277414177640738,transition-sim (forward binding),,,,,,17.463290871699076,26.803823049275184,0.37476195779176313,0.8192,15000.0,12413.973509603644,464.93658919286133,0.5,0.5,36.44436219821817,2841.437933332212,11.350995439257813,0.115,0.38525000000000004,1.4121728146138541,4.039628363236569e-05,491.7174546371914,14566.86178757805,6,1.1170401638652803
3.4,True,,52.512371140383515,-0.0025170078247498395,4.878524367060187,13.899656583104356,16.248046875,2.348390291895644,transition-sim (forward binding),,,,,,17.374570728880446,26.66764945940097,0.37423618904003075,0.8192,15000.0,12408.296232411429,467.0847354823278,0.5,0.5,36.25921101205775,2847.943069298143,11.376982200332142,0.115,0.391,1.4094236722241544,4.513449697837735e-05,493.78034776390746,14560.091236809045,5,1.119628227934854
3.45,True,,52.752336801268314,-0.0018123635446372077,4.914264950122246,13.829964661839695,16.248046875,2.4180822131603055,transition-sim (forward binding),,,,,,17.287455827299617,26.5339397007946,0.3737270073088371,0.8192,15000.0,12402.42062263316,469.218309238051,0.5,0.5,36.07740982410301,2854.368374007631,11.40265005096427,0.115,0.39675000000000005,1.4066749034653312,3.368338365136725e-05,495.83021086896565,14553.091993282367,5,1.1221758764906749
